sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,000064000059418	0	0,0008	0,0512	100	1
point	ch1
0	40
1	37
2	37
3	39
4	40
5	37
6	37
7	39
8	39
9	37
10	37
11	39
12	39
13	37
14	38
15	37
16	36
17	39
18	39
19	37
20	37
21	39
22	39
23	36
24	39
25	37
26	37
27	39
28	38
29	40
30	39
31	38
32	37
33	39
34	39
35	37
36	39
37	37
38	38
39	39
40	37
41	40
42	38
43	40
44	38
45	40
46	39
47	41
48	41
49	43
50	44
51	43
52	43
53	41
54	42
55	47
56	47
57	49
58	49
59	53
60	51
61	47
62	48
63	43
64	44
65	43
66	41
67	43
68	42
69	43
70	42
71	40
72	42
73	40
74	40
75	41
76	40
77	39
78	40
79	39
80	40
81	39
82	40
83	39
84	40
85	39
86	40
87	39
88	39
89	41
90	39
91	40
92	39
93	40
94	40
95	40
96	41
97	40
98	41
99	43
100	42
101	45
102	44
103	47
104	47
105	50
106	50
107	54
108	54
109	68
110	71
111	108
112	113
113	108
114	108
115	98
116	97
117	83
118	80
119	68
120	67
121	61
122	61
123	55
124	56
125	54
126	54
127	52
128	52
129	47
130	47
131	45
132	46
133	42
134	43
135	43
136	43
137	41
138	41
139	42
140	42
141	40
142	40
143	42
144	41
145	40
146	41
147	38
148	40
149	39
150	40
151	39
152	40
153	37
154	40
155	39
156	39
157	40
158	40
159	38
160	40
161	38
162	40
163	37
164	38
165	39
166	39
167	36
168	38
169	40
170	38
171	39
172	38
173	39
174	39
175	37
176	37
177	39
178	39
179	37
180	39
181	37
182	39
183	37
184	38
185	39
186	38
187	40
188	38
189	40
190	38
191	40
192	38
193	40
194	38
195	40
196	39
197	40
198	39
199	40
200	40
201	41
202	39
203	41
204	40
205	42
206	42
207	45
208	43
209	45
210	45
211	49
212	49
213	55
214	55
215	68
216	71
217	118
218	124
219	170
220	172
221	181
222	176
223	155
224	152
225	123
226	122
227	100
228	99
229	83
230	83
231	74
232	73
233	62
234	61
235	54
236	54
237	51
238	50
239	47
240	47
241	45
242	45
243	43
244	43
245	42
246	43
247	40
248	40
249	42
250	41
251	40
252	40
253	41
254	40
255	41
256	40
257	39
258	40
259	39
260	40
261	41
262	39
263	40
264	40
265	41
266	40
267	42
268	42
269	43
270	43
271	45
272	44
273	46
274	45
275	43
276	43
277	41
278	42
279	40
280	41
281	39
282	40
283	38
284	40
285	37
286	39
287	38
288	38
289	40
290	39
291	37
292	39
293	37
294	39
295	37
296	37
297	39
298	37
299	39
300	39
301	36
302	37
303	38
304	39
305	36
306	38
307	37
308	39
309	37
310	39
311	36
312	37
313	38
314	38
315	36
316	37
317	39
318	38
319	36
320	37
321	36
322	37
323	38
324	36
325	38
326	38
327	36
328	36
329	39
330	36
331	38
332	36
333	38
334	36
335	37
336	36
337	38
338	36
339	38
340	37
341	36
342	36
343	37
344	37
345	38
346	36
347	38
348	36
349	38
350	38
351	36
352	38
353	36
354	38
355	37
356	38
357	37
358	37
359	38
360	37
361	40
362	40
363	38
364	40
365	43
366	43
367	47
368	47
369	50
370	50
371	49
372	50
373	51
374	50
375	47
376	47
377	45
378	45
379	42
380	43
381	41
382	41
383	39
384	40
385	38
386	40
387	37
388	38
389	41
390	40
391	37
392	39
393	38
394	38
395	39
396	39
397	37
398	37
399	40
400	38
401	40
402	40
403	38
404	38
405	40
406	40
407	39
408	40
409	41
410	40
411	43
412	40
413	43
414	43
415	46
416	46
417	52
418	54
419	65
420	66
421	89
422	91
423	109
424	110
425	113
426	111
427	107
428	106
429	95
430	94
431	80
432	79
433	71
434	71
435	61
436	61
437	54
438	54
439	50
440	50
441	46
442	47
443	44
444	44
445	42
446	42
447	43
448	42
449	40
450	40
451	41
452	40
453	39
454	40
455	39
456	40
457	38
458	38
459	40
460	39
461	38
462	38
463	39
464	37
465	39
466	39
467	37
468	37
469	39
470	37
471	39
472	38
473	37
474	38
475	36
476	38
477	36
478	36
479	38
480	38
481	36
482	36
483	38
484	37
485	36
486	36
487	39
488	37
489	38
490	36
491	38
492	38
493	36
494	37
495	37
496	36
497	38
498	36
499	38
500	38
501	36
502	36
503	38
504	37
505	38
506	36
507	40
508	37
509	39
510	36
511	38
512	37
513	38
514	37
515	40
516	37
517	39
518	38
519	40
520	37
521	40
522	39
523	41
524	40
525	41
526	41
527	43
528	42
529	45
530	44
531	48
532	48
533	54
534	55
535	69
536	73
537	111
538	115
539	161
540	165
541	180
542	180
543	173
544	172
545	153
546	150
547	126
548	125
549	104
550	101
551	87
552	86
553	72
554	70
555	61
556	61
557	55
558	55
559	50
560	50
561	47
562	48
563	44
564	45
565	43
566	43
567	41
568	43
569	40
570	41
571	40
572	40
573	39
574	39
575	40
576	40
577	38
578	40
579	38
580	39
581	37
582	38
583	39
584	37
585	40
586	38
587	40
588	37
589	40
590	38
591	40
592	40
593	41
594	41
595	43
596	43
597	44
598	44
599	43

