sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,000064000059418	0	0,0008	0,0512	100	1
point	ch1
0	34
1	35
2	34
3	35
4	35
5	33
6	37
7	33
8	33
9	35
10	34
11	36
12	34
13	35
14	36
15	34
16	34
17	36
18	37
19	33
20	34
21	38
22	38
23	33
24	34
25	37
26	34
27	39
28	39
29	41
30	40
31	39
32	42
33	38
34	38
35	40
36	41
37	39
38	39
39	41
40	42
41	40
42	41
43	45
44	43
45	40
46	42
47	38
48	37
49	39
50	40
51	36
52	37
53	38
54	40
55	36
56	36
57	37
58	37
59	36
60	36
61	35
62	35
63	36
64	36
65	34
66	34
67	36
68	34
69	36
70	35
71	36
72	34
73	36
74	36
75	34
76	34
77	36
78	34
79	36
80	34
81	36
82	34
83	36
84	35
85	34
86	35
87	36
88	35
89	36
90	35
91	34
92	35
93	36
94	36
95	36
96	36
97	37
98	36
99	36
100	36
101	35
102	36
103	35
104	36
105	35
106	36
107	34
108	36
109	34
110	35
111	34
112	35
113	35
114	35
115	34
116	33
117	36
118	34
119	35
120	34
121	35
122	35
123	34
124	34
125	35
126	35
127	34
128	35
129	34
130	34
131	35
132	33
133	35
134	33
135	35
136	34
137	36
138	34
139	35
140	34
141	35
142	34
143	35
144	34
145	35
146	35
147	34
148	34
149	35
150	34
151	35
152	35
153	33
154	35
155	33
156	35
157	34
158	34
159	35
160	35
161	34
162	33
163	36
164	33
165	35
166	35
167	33
168	34
169	36
170	34
171	35
172	36
173	34
174	35
175	34
176	36
177	34
178	34
179	36
180	36
181	34
182	36
183	35
184	35
185	36
186	36
187	37
188	37
189	36
190	37
191	38
192	37
193	39
194	39
195	40
196	40
197	43
198	43
199	51
200	52
201	87
202	91
203	111
204	113
205	121
206	121
207	125
208	124
209	113
210	112
211	105
212	104
213	93
214	91
215	81
216	79
217	67
218	68
219	56
220	55
221	49
222	47
223	44
224	44
225	41
226	42
227	39
228	41
229	38
230	39
231	37
232	38
233	37
234	38
235	36
236	37
237	36
238	37
239	36
240	35
241	36
242	36
243	35
244	36
245	35
246	35
247	36
248	36
249	35
250	36
251	34
252	35
253	36
254	36
255	34
256	36
257	34
258	36
259	34
260	35
261	34
262	35
263	34
264	34
265	35
266	34
267	36
268	33
269	35
270	36
271	33
272	33
273	35
274	35
275	33
276	34
277	35
278	33
279	35
280	33
281	35
282	33
283	34
284	34
285	33
286	33
287	34
288	34
289	33
290	34
291	35
292	35
293	33
294	33
295	34
296	33
297	35
298	33
299	35
300	35
301	33
302	33
303	35
304	34
305	33
306	33
307	35
308	29
309	40
310	32
311	35
312	33
313	36
314	34
315	33
316	34
317	33
318	33
319	34
320	33
321	34
322	33
323	34
324	34
325	33
326	34
327	33
328	34
329	33
330	34
331	33
332	33
333	34
334	33
335	34
336	34
337	33
338	33
339	35
340	33
341	34
342	34
343	33
344	33
345	35
346	35
347	35
348	35
349	36
350	36
351	38
352	38
353	41
354	40
355	42
356	43
357	42
358	42
359	43
360	42
361	41
362	41
363	39
364	39
365	37
366	38
367	36
368	37
369	35
370	36
371	34
372	35
373	34
374	34
375	35
376	35
377	33
378	34
379	35
380	35
381	33
382	33
383	35
384	34
385	33
386	34
387	33
388	33
389	34
390	34
391	33
392	33
393	34
394	34
395	33
396	33
397	34
398	34
399	33
400	33
401	34
402	34
403	33
404	35
405	34
406	36
407	34
408	35
409	37
410	37
411	34
412	35
413	36
414	35
415	34
416	34
417	35
418	34
419	35
420	35
421	33
422	34
423	33
424	35
425	33
426	33
427	34
428	34
429	33
430	33
431	34
432	34
433	33
434	33
435	34
436	33
437	34
438	33
439	35
440	34
441	32
442	33
443	34
444	33
445	34
446	33
447	34
448	33
449	34
450	34
451	33
452	34
453	33
454	33
455	34
456	33
457	34
458	34
459	33
460	33
461	34
462	33
463	34
464	33
465	34
466	33
467	34
468	34
469	33
470	34
471	33
472	33
473	34
474	33
475	34
476	33
477	34
478	33
479	34
480	33
481	35
482	33
483	34
484	33
485	34
486	33
487	34
488	34
489	33
490	34
491	33
492	33
493	34
494	33
495	35
496	33
497	34
498	34
499	33
500	35
501	33
502	35
503	33
504	34
505	35
506	35
507	34
508	35
509	34
510	35
511	36
512	36
513	37
514	36
515	37
516	37
517	39
518	39
519	43
520	42
521	48
522	49
523	61
524	62
525	81
526	82
527	101
528	104
529	120
530	122
531	127
532	127
533	122
534	121
535	111
536	110
537	99
538	98
539	82
540	81
541	71
542	68
543	59
544	59
545	53
546	52
547	48
548	47
549	44
550	44
551	41
552	41
553	39
554	41
555	38
556	38
557	39
558	38
559	36
560	36
561	37
562	37
563	36
564	36
565	35
566	35
567	36
568	36
569	35
570	34
571	35
572	35
573	34
574	34
575	35
576	35
577	34
578	34
579	35
580	35
581	33
582	34
583	33
584	35
585	34
586	34
587	33
588	34
589	33
590	35
591	33
592	34
593	33
594	34
595	33
596	35
597	33
598	34
599	33

