sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,000064000059418	0	0,0008	0,0512	100	1
point	ch1
0	32
1	41
2	33
3	29
4	33
5	32
6	32
7	34
8	34
9	32
10	33
11	35
12	35
13	31
14	33
15	35
16	32
17	33
18	33
19	32
20	33
21	32
22	34
23	32
24	33
25	30
26	42
27	29
28	33
29	29
30	40
31	29
32	32
33	36
34	36
35	31
36	32
37	34
38	33
39	32
40	34
41	32
42	33
43	32
44	33
45	34
46	33
47	34
48	34
49	32
50	34
51	32
52	33
53	32
54	32
55	34
56	34
57	32
58	33
59	30
60	41
61	29
62	31
63	36
64	35
65	31
66	32
67	35
68	33
69	33
70	35
71	32
72	33
73	32
74	33
75	33
76	33
77	33
78	34
79	32
80	32
81	34
82	33
83	33
84	33
85	34
86	34
87	32
88	30
89	40
90	30
91	33
92	32
93	38
94	31
95	33
96	38
97	32
98	32
99	35
100	36
101	33
102	33
103	35
104	35
105	33
106	36
107	33
108	34
109	36
110	40
111	37
112	41
113	61
114	62
115	72
116	75
117	83
118	82
119	77
120	77
121	74
122	74
123	68
124	75
125	61
126	61
127	55
128	55
129	52
130	51
131	45
132	47
133	40
134	39
135	40
136	40
137	39
138	40
139	37
140	36
141	38
142	38
143	35
144	36
145	35
146	35
147	36
148	34
149	36
150	35
151	32
152	40
153	33
154	33
155	32
156	32
157	37
158	33
159	35
160	36
161	33
162	33
163	35
164	33
165	33
166	33
167	34
168	34
169	32
170	33
171	32
172	33
173	32
174	33
175	32
176	33
177	32
178	33
179	32
180	33
181	33
182	34
183	32
184	32
185	33
186	35
187	31
188	31
189	33
190	33
191	32
192	32
193	34
194	35
195	32
196	33
197	33
198	33
199	31
200	34
201	32
202	33
203	32
204	34
205	32
206	32
207	34
208	33
209	31
210	32
211	33
212	33
213	32
214	33
215	31
216	33
217	30
218	38
219	30
220	31
221	33
222	38
223	32
224	32
225	37
226	39
227	36
228	36
229	38
230	38
231	36
232	36
233	37
234	36
235	35
236	36
237	33
238	34
239	33
240	33
241	33
242	33
243	32
244	33
245	33
246	33
247	32
248	33
249	33
250	33
251	32
252	32
253	33
254	33
255	31
256	31
257	33
258	33
259	31
260	32
261	33
262	33
263	32
264	32
265	34
266	32
267	33
268	33
269	32
270	33
271	32
272	33
273	33
274	33
275	36
276	35
277	36
278	36
279	37
280	35
281	39
282	40
283	34
284	35
285	36
286	36
287	33
288	33
289	36
290	33
291	33
292	32
293	34
294	33
295	32
296	33
297	33
298	33
299	31
300	33
301	32
302	32
303	33
304	32
305	33
306	33
307	32
308	33
309	32
310	32
311	33
312	30
313	33
314	31
315	36
316	31
317	33
318	32
319	33
320	32
321	33
322	33
323	32
324	33
325	31
326	33
327	31
328	32
329	33
330	33
331	31
332	31
333	33
334	33
335	30
336	33
337	31
338	31
339	33
340	33
341	31
342	32
343	33
344	33
345	31
346	31
347	33
348	33
349	32
350	33
351	31
352	33
353	31
354	31
355	33
356	33
357	31
358	33
359	31
360	33
361	32
362	33
363	31
364	33
365	31
366	31
367	33
368	33
369	31
370	31
371	33
372	31
373	33
374	33
375	31
376	30
377	33
378	31
379	33
380	33
381	32
382	31
383	35
384	33
385	31
386	33
387	32
388	33
389	32
390	33
391	31
392	33
393	32
394	31
395	33
396	32
397	33
398	31
399	33
400	33
401	31
402	32
403	33
404	32
405	33
406	31
407	33
408	31
409	34
410	36
411	30
412	31
413	35
414	37
415	30
416	31
417	35
418	35
419	32
420	33
421	34
422	31
423	34
424	35
425	33
426	34
427	36
428	35
429	36
430	36
431	43
432	44
433	52
434	54
435	72
436	75
437	80
438	80
439	77
440	78
441	73
442	75
443	65
444	63
445	56
446	55
447	51
448	53
449	50
450	50
451	43
452	43
453	40
454	40
455	38
456	39
457	37
458	38
459	36
460	36
461	34
462	35
463	33
464	35
465	33
466	34
467	33
468	33
469	35
470	34
471	33
472	33
473	33
474	34
475	32
476	33
477	33
478	31
479	39
480	30
481	33
482	29
483	40
484	29
485	33
486	39
487	29
488	30
489	34
490	36
491	30
492	29
493	36
494	35
495	29
496	31
497	34
498	30
499	33
500	31
501	33
502	30
503	32
504	31
505	32
506	31
507	33
508	31
509	33
510	33
511	30
512	33
513	31
514	31
515	29
516	40
517	28
518	29
519	33
520	33
521	31
522	30
523	33
524	31
525	33
526	33
527	31
528	32
529	29
530	37
531	29
532	31
533	25
534	47
535	25
536	25
537	40
538	47
539	24
540	24
541	51
542	33
543	22
544	25
545	47
546	23
547	31
548	27
549	44
550	26
551	32
552	39
553	29
554	30
555	40
556	42
557	33
558	35
559	38
560	38
561	35
562	36
563	35
564	34
565	36
566	33
567	35
568	33
569	33
570	30
571	40
572	36
573	29
574	33
575	30
576	30
577	32
578	31
579	33
580	33
581	31
582	31
583	33
584	30
585	32
586	30
587	33
588	30
589	32
590	31
591	33
592	33
593	30
594	32
595	30
596	31
597	33
598	31
599	33

