sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,00066400005942	0	0,0004	0,0256	100	1
point	ch1
0	33
1	29
2	33
3	31
4	33
5	31
6	34
7	32
8	33
9	31
10	33
11	35
12	34
13	33
14	35
15	31
16	35
17	30
18	33
19	29
20	30
21	34
22	30
23	33
24	30
25	33
26	30
27	33
28	33
29	31
30	29
31	32
32	31
33	29
34	32
35	28
36	30
37	33
38	33
39	29
40	31
41	29
42	29
43	36
44	35
45	29
46	33
47	31
48	30
49	33
50	35
51	31
52	30
53	35
54	36
55	28
56	31
57	32
58	32
59	29
60	33
61	29
62	30
63	28
64	32
65	29
66	29
67	31
68	30
69	36
70	33
71	42
72	45
73	53
74	53
75	58
76	56
77	50
78	50
79	46
80	45
81	40
82	41
83	36
84	37
85	35
86	36
87	33
88	35
89	32
90	33
91	38
92	35
93	38
94	36
95	41
96	41
97	50
98	50
99	75
100	77
101	99
102	100
103	118
104	120
105	108
106	107
107	97
108	96
109	80
110	79
111	73
112	72
113	59
114	59
115	54
116	54
117	49
118	49
119	46
120	46
121	48
122	48
123	55
124	57
125	83
126	89
127	135
128	135
129	147
130	154
131	145
132	145
133	136
134	133
135	105
136	102
137	83
138	80
139	75
140	75
141	67
142	66
143	55
144	55
145	50
146	51
147	49
148	47
149	49
150	47
151	45
152	43
153	49
154	51
155	61
156	65
157	90
158	91
159	100
160	101
161	111
162	105
163	101
164	100
165	72
166	68
167	58
168	60
169	52
170	53
171	44
172	44
173	39
174	36
175	38
176	36
177	34
178	33
179	35
180	35
181	32
182	31
183	34
184	30
185	34
186	34
187	37
188	33
189	36
190	35
191	32
192	33
193	31
194	33
195	30
196	32
197	29
198	28
199	31
200	34
201	28
202	28
203	32
204	30
205	29
206	29
207	31
208	29
209	31
210	29
211	31
212	29
213	28
214	30
215	27
216	29
217	31
218	31
219	29
220	29
221	32
222	33
223	29
224	29
225	32
226	29
227	32
228	28
229	30
230	27
231	30
232	29
233	27
234	26
235	36
236	33
237	24
238	26
239	29
240	28
241	30
242	29
243	30
244	27
245	30
246	28
247	30
248	27
249	30
250	29
251	32
252	30
253	32
254	33
255	30
256	29
257	33
258	30
259	33
260	32
261	29
262	27
263	30
264	33
265	28
266	28
267	31
268	29
269	31
270	30
271	28
272	27
273	30
274	29
275	27
276	27
277	30
278	27
279	30
280	28
281	30
282	31
283	28
284	28
285	30
286	30
287	33
288	30
289	33
290	33
291	35
292	34
293	30
294	33
295	30
296	33
297	30
298	31
299	29
300	33
301	27
302	27
303	32
304	31
305	28
306	29
307	32
308	27
309	30
310	29
311	31
312	27
313	30
314	31
315	28
316	29
317	30
318	30
319	28
320	29
321	33
322	30
323	32
324	31
325	29
326	32
327	29
328	29
329	38
330	31
331	29
332	27
333	33
334	29
335	26
336	28
337	33
338	29
339	31
340	30
341	28
342	28
343	32
344	30
345	27
346	30
347	27
348	31
349	27
350	31
351	29
352	31
353	27
354	30
355	27
356	29
357	27
358	30
359	28
360	27
361	29
362	30
363	28
364	29
365	26
366	37
367	25
368	27
369	34
370	31
371	26
372	28
373	34
374	29
375	31
376	36
377	27
378	27
379	30
380	31
381	27
382	29
383	28
384	29
385	28
386	30
387	28
388	27
389	29
390	26
391	29
392	27
393	34
394	26
395	31
396	29
397	37
398	33
399	40
400	41
401	47
402	43
403	47
404	44
405	42
406	42
407	39
408	40
409	36
410	37
411	33
412	36
413	33
414	33
415	37
416	36
417	33
418	33
419	36
420	34
421	39
422	40
423	49
424	49
425	65
426	67
427	86
428	90
429	110
430	94
431	97
432	100
433	91
434	89
435	93
436	95
437	76
438	74
439	61
440	61
441	51
442	52
443	49
444	51
445	44
446	46
447	42
448	47
449	43
450	46
451	54
452	56
453	68
454	70
455	91
456	97
457	177
458	181
459	197
460	197
461	175
462	176
463	135
464	131
465	100
466	94
467	66
468	67
469	62
470	64
471	52
472	54
473	47
474	47
475	43
476	43
477	45
478	43
479	41
480	45
481	53
482	52
483	62
484	64
485	75
486	75
487	91
488	91
489	80
490	82
491	67
492	77
493	51
494	50
495	57
496	54
497	50
498	53
499	47
500	47
501	40
502	40
503	35
504	33
505	36
506	35
507	33
508	32
509	33
510	35
511	32
512	36
513	32
514	33
515	30
516	31
517	29
518	29
519	36
520	38
521	27
522	27
523	31
524	31
525	26
526	28
527	33
528	25
529	29
530	30
531	28
532	30
533	26
534	27
535	29
536	26
537	29
538	29
539	26
540	27
541	30
542	30
543	25
544	26
545	29
546	26
547	29
548	30
549	27
550	27
551	29
552	29
553	26
554	23
555	39
556	23
557	28
558	31
559	26
560	26
561	29
562	28
563	25
564	26
565	29
566	28
567	26
568	28
569	25
570	26
571	29
572	28
573	25
574	26
575	29
576	28
577	30
578	29
579	27
580	29
581	27
582	34
583	27
584	25
585	28
586	30
587	25
588	25
589	29
590	29
591	26
592	29
593	27
594	25
595	29
596	29
597	26
598	29
599	26

