Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	0.579495	0.700000	0.827850
2.000000	0.724369	0.700000	1.034813
3.000000	0.977898	1.100000	0.888999
4.000000	1.738486	1.600000	1.086554
5.000000	0.615714	0.600000	1.026190
6.000000	0.507058	0.800000	0.633823
7.000000	0.398287	3.100000	0.128480
8.000000	1.520731	2.200000	0.691241
9.000000	1.375900	2.200000	0.625409
10.000000	1.158652	1.400000	0.827609
11.000000	0.868989	1.100000	0.789990
12.000000	1.915049	3.000000	0.638350
13.000000	2.023448	2.700000	0.749425
14.000000	0.686527	1.200000	0.572106
15.000000	1.373054	1.900000	0.722660
16.000000	1.734384	2.300000	0.754080
17.000000	1.655189	2.800000	0.591139
18.000000	0.647683	1.000000	0.647683
19.000000	0.503753	0.800000	0.629691
20.000000	0.827594	0.700000	1.182278
21.000000	0.755630	0.700000	1.079471
22.000000	0.503753	1.400000	0.359824
23.000000	0.431788	1.200000	0.359824
24.000000	1.295365	1.600000	0.809603
25.000000	0.179912	1.300000	0.138394
26.000000	1.521175	2.400000	0.633823
27.000000	0.615714	0.900000	0.684126
28.000000	0.507058	1.000000	0.507058
29.000000	0.398403	0.900000	0.442670
30.000000	0.507058	0.700000	0.724369
31.000000	0.543277	0.600000	0.905461
32.000000	0.935542	1.200000	0.779618
33.000000	0.719647	1.100000	0.654225
34.000000	0.755630	2.100000	0.359824
35.000000	0.935542	1.100000	0.850492
36.000000	0.827594	0.900000	0.919549
37.000000	1.691171	2.400000	0.704655
38.000000	0.647683	1.200000	0.539736
39.000000	0.869394	1.100000	0.790358
40.000000	1.086554	0.900000	1.207282
41.000000	0.760588	0.800000	0.950735
42.000000	0.941680	0.900000	1.046311
43.000000	0.651932	0.800000	0.814915
44.000000	0.831059	1.700000	0.488858
45.000000	0.903325	1.300000	0.694865
46.000000	0.831059	1.200000	0.692549
47.000000	1.734384	2.400000	0.722660
48.000000	0.903325	1.400000	0.645232
49.000000	1.336921	1.600000	0.835576
50.000000	0.505862	0.500000	1.011724
51.000000	0.614261	0.800000	0.767826
52.000000	1.050518	1.600000	0.656574
53.000000	0.652046	0.700000	0.931494
54.000000	3.926578	5.900000	0.665522
55.000000	1.657088	3.500000	0.473454
56.000000	1.008662	1.400000	0.720473
57.000000	0.576378	0.500000	1.152757
58.000000	0.468307	0.400000	1.170769
59.000000	0.972638	1.100000	0.884217
60.000000	0.900591	1.500000	0.600394
61.000000	0.504331	0.900000	0.560368
62.000000	0.900591	1.200000	0.750493
63.000000	1.044686	1.700000	0.614521
64.000000	1.044686	1.500000	0.696457
65.000000	1.296851	1.900000	0.682553
66.000000	0.396260	1.500000	0.264173
67.000000	0.756497	1.000000	0.756497
68.000000	1.621064	2.200000	0.736847
69.000000	0.972638	1.200000	0.810532
70.000000	1.152757	1.700000	0.678092
71.000000	0.972638	1.300000	0.748183
72.000000	0.900591	1.500000	0.600394
73.000000	0.612402	1.000000	0.612402
74.000000	1.801182	2.100000	0.857706
75.000000	1.585040	1.800000	0.880578
76.000000	1.188780	1.400000	0.849129
77.000000	0.900591	1.100000	0.818719
78.000000	0.576378	0.600000	0.960631
79.000000	0.648426	1.000000	0.648426
80.000000	0.504331	0.600000	0.840552
81.000000	0.504331	0.800000	0.630414
82.000000	0.612402	0.600000	1.020670
83.000000	0.972638	1.100000	0.884217
84.000000	0.756497	0.900000	0.840552
85.000000	0.504331	1.200000	0.420276
86.000000	0.684449	0.800000	0.855562
87.000000	0.648426	0.700000	0.926322
88.000000	0.972638	0.800000	1.215798
89.000000	1.296851	1.400000	0.926322
90.000000	1.080709	1.400000	0.771935
91.000000	1.296851	2.200000	0.589478
92.000000	1.549017	2.000000	0.774508
93.000000	1.188780	1.400000	0.849129
94.000000	0.468307	0.800000	0.585384
95.000000	0.900591	1.500000	0.600394
96.000000	0.720473	0.900000	0.800525
97.000000	0.828544	0.600000	1.380906
98.000000	0.722660	0.900000	0.802955
99.000000	0.614261	0.900000	0.682512
100.000000	0.758793	1.000000	0.758793
101.000000	0.939458	0.500000	1.878916
102.000000	0.541995	0.900000	0.602217
103.000000	0.650394	0.800000	0.812992
104.000000	0.722660	1.300000	0.555892
105.000000	0.760366	0.700000	1.086237
106.000000	0.900591	0.900000	1.000657
107.000000	1.188780	1.300000	0.914446
108.000000	1.621064	1.800000	0.900591
109.000000	0.720473	0.900000	0.800525
110.000000	0.792520	0.900000	0.880578
111.000000	1.188780	1.700000	0.699283
112.000000	0.720473	1.100000	0.654975
113.000000	0.756497	1.000000	0.756497
114.000000	1.585040	3.500000	0.452869
115.000000	0.720473	0.800000	0.900591
116.000000	0.468307	0.800000	0.585384
117.000000	1.765159	2.100000	0.840552
118.000000	1.445320	1.500000	0.963547
119.000000	2.204113	2.700000	0.816338
120.000000	2.204113	2.900000	0.760039
121.000000	1.481453	1.500000	0.987635
122.000000	2.095714	3.000000	0.698571
123.000000	0.469729	1.100000	0.427026
124.000000	1.086237	3.000000	0.362079
125.000000	0.760366	0.900000	0.844851
126.000000	0.651742	0.800000	0.814677
127.000000	0.833025	1.200000	0.694187
128.000000	0.755630	1.100000	0.686936
129.000000	1.013821	1.400000	0.724158
130.000000	1.267276	1.400000	0.905197
131.000000	3.693205	5.400000	0.683927
132.000000	1.873230	2.500000	0.749292
133.000000	1.332875	1.500000	0.888583
134.000000	1.296851	1.400000	0.926322
135.000000	1.008662	1.100000	0.916966
136.000000	2.089372	2.800000	0.746204
137.000000	1.008662	1.600000	0.630414
138.000000	0.396260	0.800000	0.495325
139.000000	1.008662	1.300000	0.775894
140.000000	1.945277	2.700000	0.720473
141.000000	1.008662	1.800000	0.560368
142.000000	0.792520	1.200000	0.660434
143.000000	0.720473	1.300000	0.554210
144.000000	1.476970	1.900000	0.777352
145.000000	1.332875	1.700000	0.784044
146.000000	0.792520	1.100000	0.720473
147.000000	1.224804	1.700000	0.720473
148.000000	0.972638	1.600000	0.607899
149.000000	0.576378	0.700000	0.823398
150.000000	1.846602	5.600000	0.329750
151.000000	0.977613	1.400000	0.698295
152.000000	0.615534	0.900000	0.683927
153.000000	0.760588	0.900000	0.845097
154.000000	0.434621	0.500000	0.869243
155.000000	0.686527	0.700000	0.980753
156.000000	0.614261	0.700000	0.877516
157.000000	1.156256	2.100000	0.550598
158.000000	1.878916	2.500000	0.751566
159.000000	1.011724	1.300000	0.778249
160.000000	2.485632	4.300000	0.578054
161.000000	1.080709	1.300000	0.831315
162.000000	0.576378	0.500000	1.152757
163.000000	0.648426	0.400000	1.621064
164.000000	0.756497	1.200000	0.630414
165.000000	0.972638	1.300000	0.748183
166.000000	1.332875	1.700000	0.784044
167.000000	1.152757	1.300000	0.886736
168.000000	1.476970	1.600000	0.923106
169.000000	0.648426	1.000000	0.648426
170.000000	0.720473	0.800000	0.900591
171.000000	0.900591	1.000000	0.900591
172.000000	0.972638	1.200000	0.810532
173.000000	0.756497	1.000000	0.756497
174.000000	0.579326	0.500000	1.158652
175.000000	0.796574	1.200000	0.663811
176.000000	0.796574	0.900000	0.885082
177.000000	1.194860	1.300000	0.919123
178.000000	1.556939	1.900000	0.819442
179.000000	0.827594	1.200000	0.689662
180.000000	2.950554	3.800000	0.776462
181.000000	0.359824	1.100000	0.327112
182.000000	0.647683	0.400000	1.619207
183.000000	0.719647	0.500000	1.439295
184.000000	1.517586	1.700000	0.892698
185.000000	1.553719	2.200000	0.706236
186.000000	1.404922	1.500000	0.936615
187.000000	0.720473	0.500000	1.440946
188.000000	0.792520	0.600000	1.320867
189.000000	0.936615	1.200000	0.780512
190.000000	2.845868	4.000000	0.711467
191.000000	1.008662	1.100000	0.916966
192.000000	0.831059	1.100000	0.755508
193.000000	0.650394	0.800000	0.812992
194.000000	0.722660	1.000000	0.722660
195.000000	0.864568	1.200000	0.720473
196.000000	0.684449	0.700000	0.977785
197.000000	0.720473	0.700000	1.029247
198.000000	0.719647	0.700000	1.028068
199.000000	1.412108	1.700000	0.830652
200.000000	0.289064	1.700000	0.170038
