Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	2.617438	4.600000	0.569008
2.000000	2.292647	4.500000	0.509477
3.000000	2.846703	4.400000	0.646978
4.000000	2.541017	4.500000	0.564670
5.000000	2.732071	4.600000	0.593928
6.000000	2.464595	4.500000	0.547688
7.000000	2.369068	4.400000	0.538425
8.000000	2.311752	4.500000	0.513723
9.000000	2.770281	4.500000	0.615618
10.000000	2.311752	4.600000	0.502555
11.000000	2.770281	4.400000	0.629609
12.000000	2.521911	4.500000	0.560425
13.000000	2.426384	4.500000	0.539197
14.000000	2.655649	4.400000	0.603557
15.000000	2.426384	4.500000	0.539197
16.000000	2.693860	4.500000	0.598635
17.000000	2.407279	4.600000	0.523322
18.000000	2.827597	4.300000	0.657581
19.000000	2.464595	4.500000	0.547688
20.000000	2.560122	4.600000	0.556548
21.000000	2.560122	4.500000	0.568916
22.000000	2.330857	4.400000	0.529740
23.000000	2.655649	4.400000	0.603557
24.000000	2.426384	4.400000	0.551451
25.000000	2.751176	4.400000	0.625267
