t / s,p_h / mbar
15,2.00E-07
30,2.10E-07
37.5,2.20E-07
45,2.40E-07
55,2.60E-07
90,2.90E-07
97.5,3.50E-07
105,4.20E-07
112.5,5.30E-07
120,6.70E-07
127.5,8.60E-07
135,1.10E-06
142.5,1.30E-06
150,1.60E-06
157.5,2.00E-06
165,2.30E-06
172.5,2.60E-06
180,2.90E-06
187.5,3.10E-06
195,3.40E-06
202.5,3.60E-06
210,3.80E-06
217.5,4.10E-06
225,4.20E-06
232.5,4.40E-06
240,4.60E-06
247.5,4.70E-06
255,4.90E-06
262.5,5.00E-06
270,5.10E-06
277.5,5.20E-06
285,5.30E-06
292.5,5.40E-06
300,5.40E-06
307.5,5.50E-06
315,5.60E-06
322.5,5.70E-06
330,5.80E-06
337.5,5.80E-06
345,5.80E-06
352.5,5.80E-06
360,5.80E-06
367.5,5.80E-06
375,5.80E-06
382.5,5.80E-06
390,5.80E-06
397.5,5.80E-06
405,5.80E-06
412.5,5.80E-06
420,5.80E-06
435,5.80E-06
450,5.80E-06
442.5,5.80E-06
450,5.60E-06
457.5,5.50E-06
465,5.50E-06
472.5,5.50E-06
480,5.40E-06
487.5,5.40E-06
495,5.30E-06
502.5,5.30E-06
510,5.20E-06
517.5,5.20E-06
525,5.10E-06
532.5,5.10E-06
540,5.10E-06
547.5,5.00E-06
555,5.00E-06
562.5,5.00E-06
570,4.90E-06
577.5,4.90E-06
585,4.80E-06
592.5,4.70E-06
600,4.70E-06
607.5,4.70E-06
615,4.60E-06
622.5,4.60E-06
630,4.60E-06
637.5,4.50E-06
645,4.40E-06
652.5,4.40E-06
660,4.40E-06
667.5,4.30E-06
675,4.20E-06
682.5,4.20E-06
690,4.20E-06
697.5,4.10E-06
705,4.10E-06
712.5,4.00E-06
720,4.00E-06
727.5,3.90E-06
735,3.90E-06
742.5,3.80E-06
750,3.80E-06
757.5,3.80E-06
765,3.70E-06
772.5,3.70E-06
780,3.60E-06
787.5,3.60E-06
795,3.50E-06
802.5,3.50E-06
810,3.40E-06
817.5,3.40E-06
825,3.30E-06
832.5,3.30E-06
840,3.30E-06
847.5,3.20E-06
855,3.20E-06
870,3.10E-06
885,3.00E-06
900,3.00E-06
915,2.90E-06
930,2.90E-06
945,2.80E-06
960,2.80E-06
975,2.70E-06
990,2.70E-06
1005,2.60E-06
1020,2.60E-06
1035,2.60E-06
1050,2.50E-06
1065,2.50E-06
1080,2.40E-06
1095,2.40E-06
1110,2.40E-06
1125,2.30E-06
1140,2.30E-06
1155,2.20E-06
1170,2.20E-06
1185,2.20E-06
1200,2.20E-06
1215,2.10E-06
1230,2.10E-06
1245,2.10E-06
1260,2.10E-06
1275,2.10E-06
1290,2.00E-06
1305,2.00E-06
1320,2.00E-06
1335,2.00E-06
1350,1.90E-06
1365,1.90E-06
1380,1.90E-06
1395,1.90E-06
1410,1.90E-06
1425,1.80E-06
1440,1.80E-06
1455,1.80E-06
1470,1.80E-06
1485,1.80E-06
1500,1.70E-06
1515,1.70E-06
1530,1.70E-06
1545,1.70E-06
1560,1.70E-06
1575,1.60E-06
1590,1.60E-06
1605,1.60E-06
1620,1.60E-06
1635,1.50E-06
1650,1.50E-06
1665,1.50E-06
1680,1.50E-06
1695,1.50E-06
1710,1.40E-06
1725,1.40E-06
1740,1.40E-06
1755,1.40E-06
1770,1.40E-06
1785,1.40E-06
1800,1.40E-06
1815,1.30E-06
1830,1.30E-06
2010,1.20E-06
2167,1.10E-06
2385,1.00E-06
2535,9.90E-07
2685,9.70E-07
2700,9.60E-07
2970,9.00E-07
