 t / s,
0,6.70E-07
60,6.50E-07
113,6.30E-07
128,6.00E-07
143,5.80E-07
158,5.50E-07
173,5.20E-07
188,5.00E-07
203,4.80E-07
218,4.60E-07
233,4.40E-07
248,4.20E-07
263,4.10E-07
278,3.90E-07
293,3.80E-07
308,3.70E-07
323,3.50E-07
338,3.40E-07
353,3.30E-07
368,3.20E-07
383,3.10E-07
398,3.00E-07
413,2.90E-07
428,2.90E-07
443,2.80E-07
458,2.70E-07
473,2.60E-07
488,2.60E-07
503,2.50E-07
518,2.40E-07
533,2.40E-07
548,2.30E-07
563,2.20E-07
578,2.20E-07
593,2.10E-07
608,2.10E-07
623,2.10E-07
638,2.00E-07
653,2.00E-07
668,1.90E-07
683,1.90E-07
698,1.90E-07
713,1.80E-07
728,1.80E-07
743,1.80E-07
758,1.80E-07
773,1.70E-07
788,1.70E-07
803,1.70E-07
818,1.70E-07
833,1.60E-07
848,1.60E-07
863,1.60E-07
878,1.60E-07
893,1.60E-07
908,1.50E-07
923,1.50E-07
938,1.50E-07
953,1.50E-07
968,1.50E-07
983,1.50E-07
,noch >60°C heiß
