t [min],p_H [mbar]
0,7.90E-06
1,6.50E-06
1.5,5.70E-06
2,5.10E-06
2.5,4.50E-06
3,4.10E-06
3.5,3.80E-06
4,3.40E-06
4.5,3.20E-06
5,3.00E-06
5.5,2.80E-06
6,2.70E-06
6.5,2.60E-06
7,2.40E-06
7.5,2.30E-06
8,2.20E-06
8.5,2.10E-06
9,2.10E-06
9.5,2.00E-06
10,1.90E-06
10.5,1.90E-06
11,1.80E-06
11.5,1.80E-06
12,1.70E-06
12.5,1.70E-06
13,1.60E-06
13.5,1.60E-06
14,1.50E-06
14.5,1.50E-06
15,1.50E-06
16,1.40E-06
17,1.30E-06
18,1.30E-06
19,1.20E-06
20,1.20E-06
21,1.20E-06
22,1.10E-06
23,1.10E-06
24,1.10E-06
26,1.00E-06
28,9.70E-07
29,9.50E-07
30,9.20E-07
31,9.00E-07
32,8.80E-07
33,8.60E-07
34,8.50E-07
35,8.20E-07
36,8.10E-07
37,7.90E-07
38,7.80E-07
39,7.70E-07
40,7.50E-07
41,7.40E-07
42,7.20E-07
43,7.10E-07
44,7.00E-07
45,6.90E-07
55,5.80E-07
74,4.20E-07
